Case 1:
xsFInLzGuu FsjKpGpidC (13199)
* Query 12
SmhZkVbnzI cXnldidozW (11848)
cXnldidozW rZHuigjsGp (7060)
rZHuigjsGp wMCPvtVUwJ (3165)
wMCPvtVUwJ AfkEcmcsRE (8192)
AfkEcmcsRE wYuGEjYTLD (1759)
wYuGEjYTLD NDCBEnUArX (4102)
NDCBEnUArX ezaDMhUTtv (2527)
ezaDMhUTtv YtivOcjBfa (4448)
YtivOcjBfa HbtttuMiXY (338)
HbtttuMiXY XuyoxBhBGP (218)
XuyoxBhBGP sDmHHjsosI (378)
sDmHHjsosI AHRjQHtbfM (6537)
AHRjQHtbfM nbZivMrHqA (443)
nbZivMrHqA AerclLOKvC (11661)
* Query 13
fONLcPkYFt FxBfKWeRpN (9604)
FxBfKWeRpN lhDtxkQxRI (9006)
lhDtxkQxRI kHDvsOLnSe (10409)
kHDvsOLnSe nbZivMrHqA (2790)
nbZivMrHqA AHRjQHtbfM (443)
AHRjQHtbfM sDmHHjsosI (6537)
sDmHHjsosI XuyoxBhBGP (378)
XuyoxBhBGP HbtttuMiXY (218)
HbtttuMiXY YtivOcjBfa (338)
YtivOcjBfa ezaDMhUTtv (4448)
ezaDMhUTtv NDCBEnUArX (2527)
NDCBEnUArX wYuGEjYTLD (4102)
wYuGEjYTLD AfkEcmcsRE (1759)
AfkEcmcsRE wMCPvtVUwJ (8192)
wMCPvtVUwJ rZHuigjsGp (3165)
* Query 14
mFVgEPcnQj zRykSXVZSd (4908)
zRykSXVZSd HbtttuMiXY (3147)
HbtttuMiXY XuyoxBhBGP (218)
XuyoxBhBGP sDmHHjsosI (378)
sDmHHjsosI AHRjQHtbfM (6537)
AHRjQHtbfM nbZivMrHqA (443)
nbZivMrHqA kHDvsOLnSe (2790)
kHDvsOLnSe lhDtxkQxRI (10409)
lhDtxkQxRI FxBfKWeRpN (9006)
FxBfKWeRpN fONLcPkYFt (9604)
* Query 15
JTsuWAkNXh iwBhBiSjvC (14663)
iwBhBiSjvC SzoSblgMVy (1595)
SzoSblgMVy bSXMWdUTHQ (1662)
bSXMWdUTHQ AfkEcmcsRE (1571)
AfkEcmcsRE wYuGEjYTLD (1759)
wYuGEjYTLD vDRUiMAoyS (12787)
vDRUiMAoyS WLfKBBCCLA (9211)
WLfKBBCCLA KkzFvXCwqd (2113)
* Query 16
FYZisXioKy EXmNfXGtAT (4720)
EXmNfXGtAT PAkBkNQiHp (14080)
PAkBkNQiHp SzoSblgMVy (6792)
SzoSblgMVy ITgKuzSGlM (3519)
ITgKuzSGlM qaCohNimYc (783)
qaCohNimYc NAWeFokVAv (6223)
NAWeFokVAv GAEwqLwnKE (7568)
GAEwqLwnKE MrOAeUWFui (5026)
* Query 17
vDRUiMAoyS wYuGEjYTLD (12787)
wYuGEjYTLD AfkEcmcsRE (1759)
AfkEcmcsRE bSXMWdUTHQ (1571)
bSXMWdUTHQ SzoSblgMVy (1662)
SzoSblgMVy iwBhBiSjvC (1595)
iwBhBiSjvC JTsuWAkNXh (14663)
* Query 18
FDGUfngswe SzoSblgMVy (5088)
SzoSblgMVy bSXMWdUTHQ (1662)
bSXMWdUTHQ AfkEcmcsRE (1571)
AfkEcmcsRE wYuGEjYTLD (1759)
wYuGEjYTLD NDCBEnUArX (4102)
NDCBEnUArX ezaDMhUTtv (2527)
ezaDMhUTtv YtivOcjBfa (4448)
YtivOcjBfa HbtttuMiXY (338)
HbtttuMiXY XuyoxBhBGP (218)
XuyoxBhBGP sDmHHjsosI (378)
sDmHHjsosI rCcOToMAhy (7286)
rCcOToMAhy RYlKiyqTZF (4645)
RYlKiyqTZF FWuekbbIaI (1778)
* Query 19
mFVgEPcnQj zRykSXVZSd (4908)
zRykSXVZSd HbtttuMiXY (3147)
HbtttuMiXY YtivOcjBfa (338)
YtivOcjBfa ezaDMhUTtv (4448)
* Query 20
cXnldidozW rZHuigjsGp (7060)
rZHuigjsGp wMCPvtVUwJ (3165)
wMCPvtVUwJ AfkEcmcsRE (8192)
AfkEcmcsRE bSXMWdUTHQ (1571)
Case 5:
* Query 1
sJ yDnVZZAGF (2823)
yDnVZZAGF enMsUGw (3249)
enMsUGw bmHdQ (522)
bmHdQ uwgR (1771)
uwgR UwPkz (232)
* Query 2
YL lYlZu (5490)
lYlZu yWmKYzGn (4794)
yWmKYzGn zGevsKa (473)
zGevsKa mF (2916)
mF uwgR (2897)
uwgR UwPkz (232)
UwPkz ZWeNA (28)
ZWeNA tguG (1456)
tguG AIU (2560)
AIU GbIJnIDcA (1621)
GbIJnIDcA caSctB (274)
caSctB YOdXWE (5617)
YOdXWE SFIzjcSja (4510)
SFIzjcSja KYfPEUFFp (12993)
* Query 3
urOsk YNSvWkMu (897)
YNSvWkMu BBKfuHyf (317)
BBKfuHyf KQeKYK (235)
KQeKYK uwgR (2293)
uwgR mF (2897)
mF GDE (2896)
GDE TeQJ (3081)
* Query 4
mI UwPkz (7605)
UwPkz uwgR (232)
uwgR bmHdQ (1771)
bmHdQ enMsUGw (522)
enMsUGw yDnVZZAGF (3249)
yDnVZZAGF LjmrpTrEGg (754)
LjmrpTrEGg vaLFclfKWQ (7778)
* Query 5
KYfPEUFFp SFIzjcSja (12993)
SFIzjcSja YOdXWE (4510)
YOdXWE caSctB (5617)
caSctB GbIJnIDcA (274)
GbIJnIDcA AIU (1621)
AIU tguG (2560)
tguG ZWeNA (1456)
ZWeNA UwPkz (28)
UwPkz uwgR (232)
uwgR bmHdQ (1771)
* Query 6
guJCjzk L (16624)
L ZGzoKrAW (8460)
ZGzoKrAW GDE (2851)
GDE mF (2896)
mF uwgR (2897)
uwgR UwPkz (232)
UwPkz ZWeNA (28)
ZWeNA tguG (1456)
tguG NRwUK (5083)
NRwUK YrHFaUxLQU (1492)
YrHFaUxLQU NIOVIphs (2255)
* Query 7
mF GDE (2896)
GDE ZGzoKrAW (2851)
ZGzoKrAW L (8460)
L guJCjzk (16624)
* Query 8
caSctB GbIJnIDcA (274)
GbIJnIDcA AIU (1621)
AIU tguG (2560)
tguG ZWeNA (1456)
ZWeNA UwPkz (28)
UwPkz uwgR (232)
uwgR KQeKYK (2293)
KQeKYK gLqky (5221)
* Query 9
sJ yDnVZZAGF (2823)
yDnVZZAGF enMsUGw (3249)
enMsUGw bmHdQ (522)
bmHdQ uwgR (1771)
uwgR mF (2897)
mF GDE (2896)
GDE TeQJ (3081)
TeQJ CnKX (2334)
CnKX ZbWMV (3906)
* Query 10
NTdacBQJt yQeQGaKrV (9619)
yQeQGaKrV NIOVIphs (2602)
NIOVIphs YrHFaUxLQU (2255)
YrHFaUxLQU NRwUK (1492)
NRwUK tguG (5083)
tguG ZWeNA (1456)
ZWeNA UwPkz (28)
UwPkz uwgR (232)
uwgR mF (2897)
mF GDE (2896)
* Query 11
urOsk YNSvWkMu (897)
YNSvWkMu BBKfuHyf (317)
BBKfuHyf KQeKYK (235)
KQeKYK uwgR (2293)
uwgR UwPkz (232)
* Query 12
sJ yDnVZZAGF (2823)
* Query 13
UwPkz ZWeNA (28)
ZWeNA tguG (1456)
tguG NRwUK (5083)
NRwUK YrHFaUxLQU (1492)
YrHFaUxLQU NIOVIphs (2255)
NIOVIphs yQeQGaKrV (2602)
yQeQGaKrV NTdacBQJt (9619)
* Query 14
tguG ZWeNA (1456)
ZWeNA UwPkz (28)
UwPkz uwgR (232)
uwgR mF (2897)
mF zGevsKa (2916)
zGevsKa yWmKYzGn (473)
yWmKYzGn lYlZu (4794)
lYlZu exSyGiiaF (7983)
* Query 15
tf NIOVIphs (3467)
NIOVIphs YrHFaUxLQU (2255)
YrHFaUxLQU NRwUK (1492)
NRwUK tguG (5083)
tguG ZWeNA (1456)
ZWeNA UwPkz (28)
UwPkz uwgR (232)
uwgR KQeKYK (2293)
* Query 16
MiWxKhH YrHFaUxLQU (13532)
YrHFaUxLQU NIOVIphs (2255)
* Query 17
OeuZrzYqu G (3552)
G YNSvWkMu (9374)
YNSvWkMu BBKfuHyf (317)
BBKfuHyf KQeKYK (235)
Case 6:
* Query 1
tOTbrXWEXm bYdalqetk (7086)
bYdalqetk JZE (7314)
JZE EP (867)
EP ZYVqrO (6037)
* Query 2
iHHM ku (19863)
ku GjHrYldKU (776)
GjHrYldKU wfEUwqJ (1794)
wfEUwqJ zHXpVJ (3614)
zHXpVJ bK (293)
bK b (5580)
b Pv (5720)
Pv LavnWSgXC (7858)
LavnWSgXC MHc (4766)
MHc XFI (1201)
XFI DpYCCh (1594)
* Query 3
PTlAvYHcs ZYVqrO (12336)
ZYVqrO Pn (5265)
Pn XFI (4586)
XFI MHc (1201)
MHc LavnWSgXC (4766)
LavnWSgXC Pv (7858)
* Query 4
JHFZytg ZYVqrO (5705)
ZYVqrO Pn (5265)
Pn XFI (4586)
XFI MHc (1201)
MHc LavnWSgXC (4766)
LavnWSgXC Pv (7858)
Pv b (5720)
b bK (5580)
bK zHXpVJ (293)
zHXpVJ wfEUwqJ (3614)
wfEUwqJ GjHrYldKU (1794)
GjHrYldKU aEXfcYz (2352)
aEXfcYz fmR (1126)
fmR yKDRxYPEF (6395)
yKDRxYPEF sa (12735)
* Query 5
RhoIVQbvqx GjHrYldKU (8326)
GjHrYldKU wfEUwqJ (1794)
wfEUwqJ zHXpVJ (3614)
zHXpVJ bK (293)
bK b (5580)
b Pv (5720)
Pv LavnWSgXC (7858)
LavnWSgXC MHc (4766)
MHc XFI (1201)
XFI Pn (4586)
Pn ZYVqrO (5265)
ZYVqrO PTlAvYHcs (12336)
* Query 6
JZE EP (867)
EP ZYVqrO (6037)
ZYVqrO Pn (5265)
Pn XFI (4586)
XFI MHc (1201)
MHc LavnWSgXC (4766)
LavnWSgXC Pv (7858)
Case 7:
* Query 1
wIDpkpUa uBCvkXdGZ (18721)
uBCvkXdGZ KmOKbojQ (4637)
KmOKbojQ vkyM (33)
vkyM saMLStLd (2198)
saMLStLd Ijtdr (4310)
* Query 2
LpuRGqoM NrZqMPZBKK (3038)
NrZqMPZBKK PXMsW (3883)
PXMsW Ijtdr (3914)
Ijtdr saMLStLd (4310)
saMLStLd tacVumS (3457)
tacVumS NUJlQv (2917)
NUJlQv qMpd (5594)
* Query 3
AIJIUd vkyM (4439)
vkyM saMLStLd (2198)
saMLStLd Ijtdr (4310)
Ijtdr PXMsW (3914)
PXMsW NrZqMPZBKK (3883)
NrZqMPZBKK oH (1289)
* Query 4
QXF wcyyHd (2969)
wcyyHd KmOKbojQ (4192)
KmOKbojQ vkyM (33)
vkyM saMLStLd (2198)
saMLStLd tacVumS (3457)
tacVumS cSos (1785)
cSos weTQp (7035)
* Query 5
vkyM saMLStLd (2198)
saMLStLd Ijtdr (4310)
Ijtdr PXMsW (3914)
PXMsW NrZqMPZBKK (3883)
NrZqMPZBKK LpuRGqoM (3038)
* Query 6
KmOKbojQ uBCvkXdGZ (4637)
uBCvkXdGZ wIDpkpUa (18721)
Case 8:
* Query 1
EGTGDy w (6823)
w zUiSO (9643)
zUiSO VQckcSpV (10040)
VQckcSpV sbywVjO (19313)
sbywVjO kSJCIjjyyV (20184)
kSJCIjjyyV aZ (34995)
aZ lvuVUCP (31853)
* Query 2
HOY oTu (12159)
oTu w (1681)
w zUiSO (9643)
zUiSO pb (13419)
pb NRYO (16233)
NRYO eS (403)
eS COX (10718)
COX MO (6876)
MO nXRN (11372)
* Query 3
rFljpcIm gKAVWtzqQl (11543)
gKAVWtzqQl FzDduJe (34686)
FzDduJe BEp (5225)
BEp mVVre (15925)
mVVre B (21858)
B iOyrRRgY (3268)
iOyrRRgY jCCZjc (7011)
jCCZjc fVpvjj (12487)
fVpvjj ne (18882)
ne tdWekIQSiv (4480)
tdWekIQSiv ObBoZ (9096)
ObBoZ gpcs (1515)
gpcs NfhdjKqcx (434)
NfhdjKqcx X (6272)
X MO (19187)
MO COX (6876)
COX eS (10718)
eS NRYO (403)
NRYO pb (16233)
pb zUiSO (13419)
zUiSO VQckcSpV (10040)
VQckcSpV UuXgHY (18980)
* Query 4
QCXfMoZ FzDduJe (21910)
FzDduJe BEp (5225)
BEp mVVre (15925)
mVVre B (21858)
B iOyrRRgY (3268)
iOyrRRgY jCCZjc (7011)
jCCZjc fVpvjj (12487)
fVpvjj ne (18882)
ne tdWekIQSiv (4480)
tdWekIQSiv ObBoZ (9096)
ObBoZ gpcs (1515)
gpcs NfhdjKqcx (434)
NfhdjKqcx X (6272)
X MO (19187)
MO COX (6876)
* Query 5
sRNMipAl mVVre (33890)
mVVre B (21858)
B iOyrRRgY (3268)
iOyrRRgY jCCZjc (7011)
jCCZjc fVpvjj (12487)
fVpvjj ne (18882)
ne tdWekIQSiv (4480)
tdWekIQSiv ObBoZ (9096)
ObBoZ gpcs (1515)
gpcs NfhdjKqcx (434)
NfhdjKqcx X (6272)
X MO (19187)
MO COX (6876)
COX eS (10718)
eS NRYO (403)
NRYO pb (16233)
pb zUiSO (13419)
zUiSO VQckcSpV (10040)
VQckcSpV sbywVjO (19313)
sbywVjO kSJCIjjyyV (20184)
* Query 6
HOY oTu (12159)
oTu w (1681)
w zUiSO (9643)
zUiSO VQckcSpV (10040)
VQckcSpV sbywVjO (19313)
sbywVjO kSJCIjjyyV (20184)
kSJCIjjyyV aZ (34995)
aZ lvuVUCP (31853)
* Query 7
jCCZjc fVpvjj (12487)
fVpvjj ne (18882)
ne tdWekIQSiv (4480)
tdWekIQSiv ObBoZ (9096)
ObBoZ gpcs (1515)
gpcs qsEtfTTn (4798)
qsEtfTTn t (8245)
t iWq (6420)
iWq L (9930)
* Query 8
VDvTPSa rrVnnZyRm (12290)
rrVnnZyRm oTu (9884)
oTu w (1681)
w zUiSO (9643)
zUiSO pb (13419)
pb NRYO (16233)
NRYO eS (403)
eS COX (10718)
COX MO (6876)
MO X (19187)
X NfhdjKqcx (6272)
NfhdjKqcx gpcs (434)
gpcs qsEtfTTn (4798)
qsEtfTTn xfD (2396)
xfD rUy (2525)
rUy vWNNJlCk (31585)
* Query 9
InFgz ne (7351)
ne tdWekIQSiv (4480)
tdWekIQSiv ObBoZ (9096)
ObBoZ gpcs (1515)
gpcs NfhdjKqcx (434)
NfhdjKqcx X (6272)
X MO (19187)
MO COX (6876)
COX eS (10718)
* Query 10
rFljpcIm gKAVWtzqQl (11543)
gKAVWtzqQl FzDduJe (34686)
FzDduJe BEp (5225)
BEp mVVre (15925)
mVVre B (21858)
B iOyrRRgY (3268)
iOyrRRgY jCCZjc (7011)
jCCZjc H (15258)
* Query 11
wxR VDvTPSa (1205)
VDvTPSa rrVnnZyRm (12290)
rrVnnZyRm oTu (9884)
oTu w (1681)
w zUiSO (9643)
zUiSO pb (13419)
pb NRYO (16233)
NRYO eS (403)
eS COX (10718)
COX MO (6876)
MO X (19187)
X NfhdjKqcx (6272)
NfhdjKqcx gpcs (434)
gpcs qsEtfTTn (4798)
qsEtfTTn xWW (41031)
* Query 12
iOyrRRgY jCCZjc (7011)
jCCZjc fVpvjj (12487)
fVpvjj ne (18882)
ne tdWekIQSiv (4480)
tdWekIQSiv ObBoZ (9096)
ObBoZ gpcs (1515)
gpcs NfhdjKqcx (434)
NfhdjKqcx X (6272)
X MO (19187)
MO COX (6876)
COX eS (10718)
eS NRYO (403)
NRYO pb (16233)
pb zUiSO (13419)
zUiSO VQckcSpV (10040)
VQckcSpV sbywVjO (19313)
sbywVjO mWDT (8879)
* Query 13
UuXgHY VQckcSpV (18980)
VQckcSpV zUiSO (10040)
zUiSO pb (13419)
pb NRYO (16233)
NRYO eS (403)
eS COX (10718)
COX MO (6876)
MO X (19187)
X NfhdjKqcx (6272)
NfhdjKqcx gpcs (434)
* Query 14
lvuVUCP aZ (31853)
aZ kSJCIjjyyV (34995)
kSJCIjjyyV sbywVjO (20184)
sbywVjO VQckcSpV (19313)
VQckcSpV zUiSO (10040)
zUiSO pb (13419)
pb NRYO (16233)
NRYO eS (403)
eS COX (10718)
COX MO (6876)
MO IlRBg (9582)
* Query 15
MXWcDnh NfhdjKqcx (57970)
NfhdjKqcx X (6272)
X MO (19187)
MO COX (6876)
COX eS (10718)
eS NRYO (403)
NRYO pb (16233)
pb zUiSO (13419)
zUiSO w (9643)
w oTu (1681)
oTu rrVnnZyRm (9884)
rrVnnZyRm VDvTPSa (12290)
* Query 16
FzDduJe BEp (5225)
BEp mVVre (15925)
mVVre B (21858)
B iOyrRRgY (3268)
iOyrRRgY jCCZjc (7011)
jCCZjc fVpvjj (12487)
fVpvjj ne (18882)
ne tdWekIQSiv (4480)
tdWekIQSiv ObBoZ (9096)
ObBoZ gpcs (1515)
gpcs NfhdjKqcx (434)
NfhdjKqcx X (6272)
X MO (19187)
MO COX (6876)
COX eS (10718)
eS NRYO (403)
NRYO pb (16233)
pb zUiSO (13419)
zUiSO i (28373)
* Query 17
zUiSO pb (13419)
pb NRYO (16233)
NRYO eS (403)
eS COX (10718)
COX MO (6876)
MO X (19187)
X NfhdjKqcx (6272)
NfhdjKqcx gpcs (434)
gpcs ObBoZ (1515)
ObBoZ tdWekIQSiv (9096)
tdWekIQSiv ne (4480)
ne fVpvjj (18882)
fVpvjj jCCZjc (12487)
jCCZjc iOyrRRgY (7011)
iOyrRRgY B (3268)
B mVVre (21858)
mVVre BEp (15925)
BEp FzDduJe (5225)
FzDduJe YoZB (3496)
Case 9:
* Query 1
JdHrIfvPVj Q (7683)
Q rzFyfqU (5684)
rzFyfqU iqarTCuAaL (4356)
* Query 2
KmOD TfLrwzZGH (8590)
* Query 3
GW qztYtZeFrW (15252)
qztYtZeFrW JdHrIfvPVj (6801)
JdHrIfvPVj Q (7683)
Q rzFyfqU (5684)
rzFyfqU iqarTCuAaL (4356)
iqarTCuAaL DxiKujRT (9720)
DxiKujRT ywtozT (6892)
ywtozT sS (12666)
sS TfLrwzZGH (10126)
TfLrwzZGH vXUY (9794)
vXUY CDGIEOm (2364)
CDGIEOm paRVzshM (9993)
* Query 4
I sCvuXaz (14117)
sCvuXaz K (1212)
K sS (6589)
sS ywtozT (12666)
ywtozT DxiKujRT (6892)
DxiKujRT iqarTCuAaL (9720)
iqarTCuAaL azdxAVFOn (10569)
azdxAVFOn rd (5377)
* Query 5
kjKGTAO GZHIqihU (7535)
GZHIqihU ZniG (7930)
ZniG JYpIBH (2928)
JYpIBH BdeIOO (2276)
BdeIOO ECjQX (8681)
ECjQX rPaLHiENl (4710)
rPaLHiENl qztYtZeFrW (2637)
qztYtZeFrW JdHrIfvPVj (6801)
JdHrIfvPVj Q (7683)
Q rzFyfqU (5684)
rzFyfqU iqarTCuAaL (4356)
iqarTCuAaL DxiKujRT (9720)
DxiKujRT ywtozT (6892)
ywtozT sS (12666)
sS TfLrwzZGH (10126)
TfLrwzZGH vXUY (9794)
vXUY CDGIEOm (2364)
* Query 6
VHkRO DgF (25468)
DgF IRDgoR (4563)
IRDgoR sCvuXaz (18149)
sCvuXaz K (1212)
K sS (6589)
sS ywtozT (12666)
ywtozT DxiKujRT (6892)
* Query 7
DCfzOe RrLzxRpe (3431)
RrLzxRpe VHkRO (17317)
VHkRO DgF (25468)
DgF IRDgoR (4563)
IRDgoR sCvuXaz (18149)
sCvuXaz K (1212)
K sS (6589)
sS ywtozT (12666)
ywtozT DxiKujRT (6892)
DxiKujRT iqarTCuAaL (9720)
iqarTCuAaL rzFyfqU (4356)
rzFyfqU Q (5684)
Q JdHrIfvPVj (7683)
JdHrIfvPVj qztYtZeFrW (6801)
qztYtZeFrW rPaLHiENl (2637)
rPaLHiENl ECjQX (4710)
ECjQX BdeIOO (8681)
BdeIOO JYpIBH (2276)
* Query 8
zR rzFyfqU (7382)
rzFyfqU iqarTCuAaL (4356)
iqarTCuAaL DxiKujRT (9720)
DxiKujRT ywtozT (6892)
ywtozT sS (12666)
sS K (6589)
K sCvuXaz (1212)
sCvuXaz IRDgoR (18149)
IRDgoR Dr (48392)
* Query 9
aalMPqirVj ZniG (5724)
ZniG JYpIBH (2928)
JYpIBH BdeIOO (2276)
BdeIOO ECjQX (8681)
ECjQX rPaLHiENl (4710)
rPaLHiENl qztYtZeFrW (2637)
qztYtZeFrW JdHrIfvPVj (6801)
JdHrIfvPVj Q (7683)
Q rzFyfqU (5684)
rzFyfqU iqarTCuAaL (4356)
iqarTCuAaL azdxAVFOn (10569)
azdxAVFOn rd (5377)
* Query 10
cuUkU ywtozT (13484)
ywtozT sS (12666)
sS TfLrwzZGH (10126)
TfLrwzZGH XQ (5640)
XQ c (4042)
* Query 11
rPaLHiENl qztYtZeFrW (2637)
qztYtZeFrW JdHrIfvPVj (6801)
* Query 12
DgF IRDgoR (4563)
IRDgoR sCvuXaz (18149)
sCvuXaz K (1212)
K sS (6589)
sS TfLrwzZGH (10126)
TfLrwzZGH vXUY (9794)
vXUY CDGIEOm (2364)
CDGIEOm paRVzshM (9993)
paRVzshM Ggi (27899)
Case 10:
* Query 1
Vq H (3100)
H ezNmtijjJ (1621)
ezNmtijjJ xmx (3058)
xmx V (516)
V zYbmWvX (3360)
zYbmWvX pHSMMDBl (3703)
pHSMMDBl PiRvOwxUB (2001)
PiRvOwxUB aYorjrg (957)
aYorjrg Lzw (543)
Lzw zKksNYDba (129)
zKksNYDba JKjRr (2825)
JKjRr o (1700)
o jCRXVsWh (723)
jCRXVsWh rgTgfnAc (2857)
rgTgfnAc T (4286)
T fpYGMO (3231)
* Query 2
londEoIz zYbmWvX (3914)
zYbmWvX pHSMMDBl (3703)
pHSMMDBl PiRvOwxUB (2001)
PiRvOwxUB aYorjrg (957)
aYorjrg Lzw (543)
Lzw zKksNYDba (129)
zKksNYDba JKjRr (2825)
JKjRr o (1700)
o jCRXVsWh (723)
jCRXVsWh wJJv (3654)
* Query 3
H ezNmtijjJ (1621)
ezNmtijjJ xmx (3058)
xmx V (516)
V zYbmWvX (3360)
zYbmWvX pHSMMDBl (3703)
pHSMMDBl PiRvOwxUB (2001)
PiRvOwxUB aYorjrg (957)
aYorjrg Lzw (543)
Lzw zKksNYDba (129)
zKksNYDba JKjRr (2825)
JKjRr o (1700)
o jCRXVsWh (723)
jCRXVsWh wJJv (3654)
wJJv Lh (2713)
Lh ekFp (1912)
ekFp kVKSDInkI (1764)
* Query 4
o jCRXVsWh (723)
jCRXVsWh rgTgfnAc (2857)
rgTgfnAc T (4286)
T gkglrf (2799)
gkglrf HPXiTrqwZe (2545)
* Query 5
Lzw zKksNYDba (129)
zKksNYDba JKjRr (2825)
JKjRr o (1700)
o jCRXVsWh (723)
jCRXVsWh wJJv (3654)
wJJv Lh (2713)
Lh ekFp (1912)
ekFp kVKSDInkI (1764)
kVKSDInkI n (348)
* Query 6
HpvyIwR londEoIz (17626)
londEoIz zYbmWvX (3914)
zYbmWvX pHSMMDBl (3703)
pHSMMDBl PiRvOwxUB (2001)
PiRvOwxUB aYorjrg (957)
aYorjrg Lzw (543)
Lzw bFzF (2057)
bFzF bgJjf (3080)
* Query 7
AG londEoIz (11942)
londEoIz zYbmWvX (3914)
zYbmWvX pHSMMDBl (3703)
pHSMMDBl PiRvOwxUB (2001)
PiRvOwxUB aYorjrg (957)
aYorjrg Lzw (543)
Lzw zKksNYDba (129)
zKksNYDba JKjRr (2825)
JKjRr o (1700)
o jCRXVsWh (723)
jCRXVsWh wJJv (3654)
